ds,yhat,yhat_lower,yhat_upper
2019-04-09,-55504100.29559498,-184230420.15985078,66424393.96263538
2019-04-10,-55189211.11667561,-184820723.86903316,68202334.6809756
2019-04-11,-55022704.322563656,-185575049.07856664,69815302.00633498
2019-04-12,-53611843.57214561,-185152519.4374715,72702200.2156964
2019-04-13,-55683543.192131974,-188181825.183351,72069163.55461685
2019-04-14,-55711805.6563679,-189353514.17094395,73415609.4741358
2019-04-15,-56515459.40747586,-191626769.8752593,74534960.20709522
2019-04-16,-57403156.13563885,-193991337.80581918,74761819.92634821
2019-04-17,-57964388.05689506,-196167992.7101211,75432655.42252465
2019-04-18,-58465647.07546351,-197051309.863513,76753064.03002922
2019-04-19,-57510850.17184065,-197569499.00614795,80050412.71772332
2019-04-20,-59830686.77880708,-201525170.95823732,79437360.70215297
2019-04-21,-59909676.13752297,-203735071.8225155,81868782.71205065
2019-04-22,-60583338.936975315,-205204351.74584103,83239137.0939276
2019-04-23,-61182462.42377387,-207443869.27052805,84691194.59122741
2019-04-24,-61323243.93939319,-209034397.5715808,86231914.98105022
2019-04-25,-61302462.78152212,-210590076.1980787,87531206.8779833
2019-04-26,-59756835.505342156,-210694838.82988274,89981579.5190065
2019-04-27,-61451243.05767378,-213973168.57261145,89181918.7818297
2019-04-28,-60904651.27885549,-215480996.63216335,91884387.13166061
2019-04-29,-60986162.568828486,-216645969.98795643,94107449.05696447
2019-04-30,-61058210.400349736,-218138208.26799372,95003704.2438832
2019-05-01,-60765712.224947125,-219184712.1434623,96387830.42852947
2019-05-02,-60430358.50489244,-220484096.63467875,98272714.8039526
2019-05-03,-58709217.31211172,-220074705.5642383,100908961.83652394
2019-05-04,-60382363.05172754,-222792596.7086084,100844643.9812394
2019-05-05,-59978366.322575495,-223861561.73644245,103051689.91143219
2019-05-06,-60370093.115727864,-226582376.75049102,103933793.71442199
2019-05-07,-60917830.12687176,-228345961.1822165,105735781.74330936
2019-05-08,-61258551.424785145,-229892792.40225512,107980385.31308216
2019-05-09,-61700498.57903136,-231815753.4887242,109943260.0240748
2019-05-10,-60882242.95273341,-232679131.0443827,112020000.42149875
2019-05-11,-63560923.241536,-236924550.21810144,110196071.92045592
2019-05-12,-64238475.54986184,-239219211.40007874,110746955.06223662
2019-05-13,-65758280.85196896,-241883108.88676718,111370996.88459778
2019-05-14,-67449220.3379639,-245311985.60279754,111083964.60398899
2019-05-15,-68915925.47676226,-247970251.8951344,111295858.46491988
2019-05-16,-70434365.19495095,-250665976.96736503,111143419.47166327
2019-05-17,-70611908.74893884,-252005623.29417735,112348581.6913749
2019-05-18,-74176527.69317476,-257143318.10104063,109639845.5620772
2019-05-19,-75603925.86025293,-259936363.22562385,109336342.00758421
2019-05-20,-77714995.93615192,-263431804.64159167,108624195.72456884
2019-05-21,-79820569.71777804,-266774645.73521063,107894173.46855642
2019-05-22,-81512228.97512585,-269272728.55126923,107576482.9618476
2019-05-23,-83058303.45627798,-272445265.4092254,107428242.84636387
2019-05-24,-83064183.22563191,-273435028.6306956,108844550.38603203
2019-05-25,-86261602.11796308,-277807298.79560417,107136223.89991102
2019-05-26,-87135679.52423896,-279916306.62411183,107943325.48588124
2019-05-27,-88522122.32415411,-282594330.755069,108567971.64509264
2019-05-28,-89751562.08564802,-285169817.86213917,108340498.8731421
2019-05-29,-90439807.02112569,-287095856.2271418,109215729.20427817
2019-05-30,-90883151.94566627,-288736602.2833438,110592993.19602308
2019-05-31,-89717893.76453656,-288741045.02027833,113131814.29143986
2019-06-01,-91708732.6287999,-292011922.18355,112960164.22231707
2019-06-02,-91374871.6594422,-293016444.31560916,114774318.67217813
2019-06-03,-91586244.31489241,-294508221.62312335,115835668.04459502
2019-06-04,-91706872.56589818,-296990653.50760984,117500734.59111534
2019-06-05,-91384163.38748245,-298083029.5528649,119179067.20198433
2019-06-06,-90943314.00888586,-299078511.56788856,121980548.65029183
2019-06-07,-89045999.049649,-298553432.69670117,124998524.6088359
2019-06-08,-90478042.9682122,-301298900.383764,124685853.61533359
2019-06-09,-89774911.05082169,-302058299.8235473,126545420.11281063
2019-06-10,-89817464.82596761,-303723466.78244585,127893234.22210123
2019-06-11,-89974997.90957719,-305448302.08114105,129247944.79294874
2019-06-12,-89894368.32766043,-306588793.5949882,132080534.42982312
2019-06-13,-89894401.7804898,-307820491.62161314,134911046.56424326
2019-06-14,-88624738.40621914,-308779145.93698627,138972430.71968925
2019-06-15,-90853821.35888846,-312492693.29546523,139427882.25621116
2019-06-16,-91094850.9567859,-314640392.78836405,140490967.8455183
2019-06-17,-92202136.7567928,-317193905.2163113,140901925.81389683
2019-06-18,-93514846.38908938,-320223605.3194975,141115720.6462901
2019-06-19,-94646946.90109256,-324178356.45040023,141487002.81372124
2019-06-20,-95882490.24981712,-328326222.82296324,141932689.83221853
2019-06-21,-95835390.81357133,-329062663.20135844,144604872.47956648
2019-06-22,-99238367.40027168,-333909582.4121164,143797715.01025176
2019-06-23,-100569847.25739905,-336596042.40184116,144700960.98472214
2019-06-24,-102651238.51627636,-340460223.79871213,144300089.40145347
2019-06-25,-104791545.03435846,-344388648.9982628,143748263.76927117
2019-06-26,-106578096.25348383,-347827244.5196558,143396751.98071143
2019-06-27,-108272522.95164387,-351067267.40106684,141912111.69139683
2019-06-28,-108471108.92366143,-352178546.559074,143742244.05188674
2019-06-29,-111894176.62543823,-357128622.7151418,142352006.25076622
2019-06-30,-113013293.60222414,-360417427.55861557,143151396.94100687
2019-07-01,-114648699.46251984,-364497128.4398837,143020923.02056706
2019-07-02,-116113924.84072548,-368471716.61908776,142758615.68410966
